condition,family,dose,mode,latency_ms,qualified,R_model,zero_products,model_products,speedup_over_native
c05,A1-H+L1,0.5,no_skip,2.406924031674862,False,0.03787578105538257,241005712680,6363055915008,0.9956424374538272
c06,A1-H+L1,1.0,native,2.3130744230002165,True,0.03949334258831262,251298347160,6363055915008,1.0
c06,A1-H+L1,1.0,fusion_dense,1.8223525257781148,True,0.03949334258831262,251298347160,6363055915008,1.2696758347493615
c06,A1-H+L1,1.0,sparse,1.545539009384811,False,0.03949334258831262,251298347160,6363055915008,1.4973090838244798
c06,A1-H+L1,1.0,no_skip,2.391663962043822,False,0.03949334258831262,251298347160,6363055915008,0.9756443961833082
c07,A1-H+OL1,0.05,native,2.328599337488413,True,0.0314522677294041,200132538216,6363055915008,1.0
c07,A1-H+OL1,0.05,fusion_dense,1.837917952798307,True,0.0314522677294041,200132538216,6363055915008,1.2692170107433953
c07,A1-H+OL1,0.05,sparse,1.5690299915149808,False,0.0314522677294041,200132538216,6363055915008,1.4855487722277518
c07,A1-H+OL1,0.05,no_skip,2.399209071882069,False,0.0314522677294041,200132538216,6363055915008,0.9749909974584137
c08,A1-H+OL1,0.1,native,2.3305690847337246,True,0.03338578566957837,212435620982,6363055915008,1.0
c08,A1-H+OL1,0.1,fusion_dense,1.837387913838029,True,0.03338578566957837,212435620982,6363055915008,1.2684837210818107
c08,A1-H+OL1,0.1,sparse,1.562370453029871,True,0.03338578566957837,212435620982,6363055915008,1.4899638823287844
c08,A1-H+OL1,0.1,no_skip,2.396504976786673,True,0.03338578566957837,212435620982,6363055915008,0.9731694866549648
c09,A1-H+OL1,0.5,native,2.3191695800051093,True,0.03767997558790878,239759791542,6363055915008,1.0
c09,A1-H+OL1,0.5,fusion_dense,1.826892956160009,True,0.03767997558790878,239759791542,6363055915008,1.2687469205660347
c09,A1-H+OL1,0.5,sparse,1.5520299784839153,False,0.03767997558790878,239759791542,6363055915008,1.4951580425714333
c09,A1-H+OL1,0.5,no_skip,2.3958890233188868,False,0.03767997558790878,239759791542,6363055915008,0.971904737068254
c10,A1-H+OL1,1.0,native,2.3286790819838643,True,0.03938363148105149,250600249250,6363055915008,1.0
